20201206,AK,35720,,1042056,,totalTestsViral,1077776,164,799,,,21,,7165
20201206,AL,269877,45962,1421126,,totalTestsPeopleViral,1645041,1927,26331,,2290,,1317,168387
20201206,AR,170924,22753,1614979,,totalTestsViral,1763150,1076,9401,374,,179,1038,149490
20201206,AZ,364276,12590,2018813,,totalTestsPeopleViral,2370499,2977,28248,714,,462,,56382
20201206,CO,260581,11069,1608829,,totalTestEncountersViral,3478160,1750,14868,,,,,13941
20201206,CT,127715,8131,3294383,,posNeg,3422098,1150,12257,,,,,9800
20201206,DC,23136,,711497,,totalTestEncountersViral,734633,171,,50,,23,,16665
20201206,DE,39912,1550,400854,,totalTestEncountersViral,778298,315,,39,,,,18851
20201206,GU,7004,132,79571,,posNeg,86575,33,,10,,6,,6056
20201206,HI,18842,315,295153,,totalTestEncountersViral,701776,57,1325,14,,17,,11958
20201206,IA,213390,,885199,,posNeg,1098589,918,,195,,122,,159063
20201206,ID,109705,17345,398027,,totalTestsPeopleViral,490387,477,4372,105,814,,,42932
20201206,IN,381617,,1928262,,totalTestsViral,4577211,3189,28367,961,5081,368,,224059
20201206,KS,168295,,676891,,posNeg,845186,1143,5417,283,1453,123,409,3615
20201206,KY,200632,34939,2568543,,totalTestsViral,2732005,1731,10678,401,2576,226,,30161
20201206,LA,251123,15254,3356960,,posNeg,3608083,1392,,,,162,,202891
20201206,MA,256844,9285,3250728,,totalTestsViral,8970252,1416,14397,298,,139,,169809
20201206,MD,215027,,2225595,,totalTestsViral,4685476,1576,22095,393,,,,8785
20201206,ME,13348,1547,900832,,posNeg,914180,164,768,45,,17,,10080
20201206,MI,426576,31540,6538482,,posNeg,6965058,4141,,855,,513,,197750
20201206,MN,350862,8459,2301135,,totalTestEncountersViral,4431677,1679,18233,367,3991,,,308218
20201206,MP,106,,17010,,posNeg,17116,,4,,,,,29
20201206,MS,164931,37611,982395,,posNeg,1147326,1157,7486,286,,165,,128746
20201206,MT,67875,,620339,,posNeg,688214,475,2836,77,,44,,50287
20201206,NC,394990,25452,5216286,,posNeg,5611276,2191,,515,,,,315979
20201206,ND,82981,,274492,,totalTestEncountersViral,1132025,305,2880,48,450,,,76999
20201206,NE,138568,,631739,,totalTestsViral,1456368,755,4547,,,,,69840
20201206,NH,24771,,415976,,totalTestsViral,861473,169,849,,284,,,19553
20201206,NJ,368016,,5918797,,posNeg,6286813,3241,42456,622,,396,,46021
20201206,NM,108088,,1539888,,posNeg,1647976,919,7321,,,,,37041
20201206,NY,705827,,19888867,,totalTestEncountersViral,20594694,4442,89995,850,,464,,87949
